id,pais,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
42,Dinamarca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3484.0,0.0,0.0,14954.0,16858.0,19273.0,34271.0,72079.0,87937.0,167043.0,41566.0,48766.0,27648.0,25040.0,7704.0,0.0,0.0,19305.0,0.0,0.0,0.0,63075.0,0.0,146302.0,591144.0,333500.0,50330.0,85434.0,144580.0,1641723.0,944557.0,1293454.0,47077.0,52691.0,410000.0,370219.0,408119.0,41594.0,0.0,295666.0,186615.0,198206.0,289882.0,77720.0,380524
43,Djibuti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0
44,Egito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,117.0,0.0,46.0,0.0,203
45,Emirados Árabes Unidos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110160.0,59400.0,0.0,48335.0,123713.0,467463.0,50589.0,235720.0,160140.0,199226.0,779037.0,3478696.0,4765367.0,5767428.0,5897558.0,1264746.0,937681.0,851438.0,468336.0,517746.0,849557
46,Eslovênia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,39.0,0.0,0.0,0
47,Espanha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,76980.0,0.0,96843.0,0.0,372058.0,333326.0,445469.0,213952.0,179613.0,0.0,0.0,380384.0,46203.0,0.0,0.0,0.0,0.0,50470.0,80838.0,1492424.0,3184196.0,5585176.0,13240593.0,9526877.0,11833523
48,Estados Unidos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9500.0,1400.0,389820.0,70860.0,290611.0,352282.0,273026.0,453340.0,104619.0,123700.0,0.0,0.0,0.0,288000.0,1107600.0,14400.0,0.0,0.0,0.0,695404.0,151020.0,833610.0,2311734.0,5303805.0,18408993.0,41558615.0,34262739.0,60290458.0,35190280.0,42056890.0,53691348.0,27987690.0,8340223.0,236846.0,2144380.0,1747033.0,7001456.0,10970525.0,22357148.0,30255996.0,50133754.0,36440255.0,77675460
49,Falkland (Ilhas Malvinas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,89.0,115.0,44.0,121.0,0
50,"Faroé, Ilhas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0
51,Filipinas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,2443.0,1576.0,1132.0,592.0,701
52,Finlândia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,1089.0,0.0,0.0,0.0,0.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39000.0,330465.0,60105.0,0.0,30590.0,0.0,33088.0,65390.0,39223.0,0.0,103667.0,220525.0,156756.0,0.0,554904.0,1275941.0,539150.0,376887.0,89352.0,314505.0,0.0,0.0,0.0,35623.0,0.0,22
